Id,Predicted
1305,neutral
1306,neutral
1307,non-neutral
1308,neutral
1309,non-neutral
1310,neutral
1311,neutral
1312,surprise
1313,neutral
1314,surprise
1315,neutral
1316,surprise
1317,neutral
1318,neutral
1319,surprise
1320,neutral
1321,neutral
1322,neutral
1323,neutral
1324,neutral
1325,non-neutral
1326,anger
1327,surprise
1328,neutral
1329,neutral
1330,neutral
1331,neutral
1332,neutral
1333,neutral
1334,disgust
1335,surprise
1336,neutral
1337,non-neutral
1338,neutral
1339,neutral
1340,neutral
1341,neutral
1342,neutral
1343,surprise
1344,sadness
1345,non-neutral
1346,surprise
1347,neutral
1348,neutral
1349,neutral
1350,surprise
1351,non-neutral
1352,neutral
1353,neutral
1354,non-neutral
1355,neutral
1356,neutral
1357,neutral
1358,neutral
1359,neutral
1360,neutral
1361,surprise
1362,non-neutral
1363,neutral
1364,non-neutral
1365,non-neutral
1366,neutral
1367,surprise
1368,non-neutral
1369,non-neutral
1370,neutral
1371,surprise
1372,neutral
1373,neutral
1374,neutral
1375,joy
1376,surprise
1377,neutral
1378,neutral
1379,neutral
1380,neutral
1381,non-neutral
1382,neutral
1383,surprise
1384,neutral
1385,neutral
1386,neutral
1387,non-neutral
1388,neutral
1389,neutral
1390,non-neutral
1391,surprise
1392,neutral
1393,neutral
1394,neutral
1395,neutral
1396,neutral
1397,neutral
1398,non-neutral
1399,neutral
1400,neutral
1401,neutral
1402,surprise
1403,neutral
1404,surprise
1405,surprise
1406,joy
1407,neutral
1408,neutral
1409,surprise
1410,sadness
1411,neutral
1412,joy
1413,surprise
1414,surprise
1415,neutral
1416,neutral
1417,neutral
1418,non-neutral
1419,surprise
1420,neutral
1421,neutral
1422,non-neutral
1423,neutral
1424,neutral
1425,neutral
1426,surprise
1427,non-neutral
1428,non-neutral
1429,joy
1430,neutral
1431,neutral
1432,neutral
1433,joy
1434,surprise
1435,neutral
1436,joy
1437,non-neutral
1438,neutral
1439,neutral
1440,neutral
1441,sadness
1442,joy
1443,neutral
1444,non-neutral
1445,non-neutral
1446,neutral
1447,neutral
1448,neutral
1449,neutral
1450,neutral
1451,neutral
1452,neutral
1453,neutral
1454,neutral
1455,neutral
1456,non-neutral
1457,neutral
1458,neutral
1459,anger
1460,neutral
1461,neutral
1462,neutral
1463,neutral
1464,neutral
1465,neutral
1466,neutral
1467,neutral
1468,surprise
1469,neutral
1470,neutral
1471,neutral
1472,surprise
1473,joy
1474,joy
1475,surprise
1476,neutral
1477,neutral
1478,neutral
1479,non-neutral
1480,neutral
1481,neutral
1482,neutral
1483,neutral
1484,neutral
1485,neutral
1486,neutral
1487,neutral
1488,non-neutral
1489,neutral
1490,sadness
1491,neutral
1492,neutral
1493,non-neutral
1494,neutral
1495,neutral
1496,surprise
1497,neutral
1498,neutral
1499,surprise
1500,neutral
1501,surprise
1502,neutral
1503,neutral
1504,neutral
1505,neutral
1506,neutral
1507,disgust
1508,joy
1509,neutral
1510,non-neutral
1511,neutral
1512,neutral
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,neutral
1518,surprise
1519,neutral
1520,joy
1521,neutral
1522,neutral
1523,sadness
1524,neutral
1525,neutral
1526,neutral
1527,neutral
1528,neutral
1529,non-neutral
1530,neutral
1531,non-neutral
1532,joy
1533,surprise
1534,neutral
1535,anger
1536,neutral
1537,neutral
1538,neutral
1539,neutral
1540,neutral
1541,non-neutral
1542,neutral
1543,neutral
1544,non-neutral
1545,surprise
1546,neutral
1547,joy
1548,neutral
1549,surprise
1550,neutral
1551,neutral
1552,non-neutral
1553,non-neutral
1554,joy
1555,non-neutral
1556,non-neutral
1557,neutral
1558,anger
1559,neutral
1560,neutral
1561,joy
1562,joy
1563,joy
1564,neutral
1565,surprise
1566,neutral
1567,neutral
1568,neutral
1569,neutral
1570,joy
1571,neutral
1572,neutral
1573,neutral
1574,non-neutral
1575,surprise
1576,neutral
1577,neutral
1578,neutral
1579,neutral
1580,joy
1581,neutral
1582,neutral
1583,surprise
1584,joy
1585,neutral
1586,neutral
1587,neutral
1588,surprise
1589,neutral
1590,neutral
1591,joy
1592,neutral
1593,neutral
1594,neutral
1595,neutral
1596,neutral
1597,surprise
1598,neutral
1599,surprise
1600,neutral
1601,neutral
1602,neutral
1603,neutral
1604,neutral
1605,neutral
1606,neutral
1607,surprise
1608,neutral
1609,neutral
1610,neutral
1611,surprise
1612,anger
1613,non-neutral
1614,non-neutral
1615,neutral
1616,neutral
1617,neutral
1618,non-neutral
1619,neutral
1620,neutral
1621,neutral
1622,non-neutral
1623,neutral
1624,neutral
1625,neutral
1626,non-neutral
1627,neutral
1628,neutral
1629,neutral
1630,neutral
1631,neutral
1632,neutral
1633,neutral
1634,neutral
1635,neutral
1636,neutral
1637,neutral
1638,neutral
1639,neutral
1640,neutral
1641,neutral
1642,neutral
1643,neutral
1644,neutral
1645,neutral
1646,neutral
1647,neutral
1648,neutral
1649,surprise
1650,non-neutral
1651,non-neutral
1652,sadness
1653,sadness
1654,non-neutral
1655,joy
1656,neutral
1657,neutral
1658,neutral
1659,neutral
1660,neutral
1661,neutral
1662,joy
1663,neutral
1664,joy
1665,surprise
1666,neutral
1667,surprise
1668,neutral
1669,neutral
1670,neutral
1671,joy
1672,neutral
1673,surprise
1674,neutral
1675,neutral
1676,neutral
1677,neutral
1678,anger
1679,surprise
1680,neutral
1681,neutral
1682,neutral
1683,surprise
1684,neutral
1685,neutral
1686,non-neutral
1687,non-neutral
1688,disgust
1689,neutral
1690,non-neutral
1691,neutral
1692,joy
1693,neutral
1694,neutral
1695,non-neutral
1696,sadness
1697,joy
1698,neutral
1699,surprise
1700,neutral
1701,joy
1702,neutral
1703,neutral
1704,neutral
1705,neutral
1706,neutral
1707,surprise
1708,joy
1709,neutral
1710,non-neutral
1711,neutral
1712,neutral
1713,disgust
1714,neutral
1715,neutral
1716,neutral
1717,neutral
1718,neutral
1719,non-neutral
1720,neutral
1721,neutral
1722,neutral
1723,non-neutral
1724,neutral
1725,surprise
1726,neutral
1727,neutral
1728,anger
1729,neutral
1730,surprise
1731,neutral
1732,anger
1733,neutral
1734,non-neutral
1735,neutral
1736,joy
1737,neutral
1738,non-neutral
1739,neutral
1740,surprise
1741,surprise
1742,surprise
1743,neutral
1744,neutral
1745,neutral
1746,neutral
1747,joy
1748,neutral
1749,neutral
1750,neutral
1751,neutral
1752,non-neutral
1753,joy
1754,neutral
1755,non-neutral
1756,non-neutral
1757,neutral
1758,surprise
1759,surprise
1760,surprise
1761,neutral
1762,joy
1763,joy
1764,non-neutral
1765,surprise
1766,joy
1767,joy
1768,neutral
1769,non-neutral
1770,neutral
1771,neutral
1772,neutral
1773,neutral
1774,neutral
1775,neutral
1776,neutral
1777,non-neutral
1778,neutral
1779,neutral
1780,neutral
1781,neutral
1782,neutral
1783,joy
1784,joy
1785,neutral
1786,neutral
1787,neutral
1788,neutral
1789,neutral
1790,neutral
1791,neutral
1792,joy
1793,non-neutral
1794,disgust
1795,neutral
1796,neutral
1797,surprise
1798,neutral
1799,neutral
1800,neutral
1801,neutral
1802,neutral
1803,surprise
1804,neutral
1805,non-neutral
1806,surprise
1807,neutral
1808,non-neutral
1809,neutral
1810,neutral
1811,disgust
1812,neutral
1813,neutral
1814,neutral
1815,neutral
1816,neutral
1817,neutral
1818,neutral
1819,neutral
1820,neutral
1821,non-neutral
1822,neutral
1823,joy
1824,neutral
1825,neutral
1826,neutral
1827,neutral
1828,neutral
1829,joy
1830,neutral
1831,neutral
1832,joy
1833,neutral
1834,neutral
1835,neutral
1836,non-neutral
1837,non-neutral
1838,neutral
1839,neutral
1840,neutral
1841,neutral
1842,neutral
1843,neutral
1844,neutral
1845,joy
1846,joy
1847,joy
1848,neutral
1849,neutral
1850,neutral
1851,neutral
1852,neutral
1853,neutral
1854,neutral
1855,neutral
1856,neutral
1857,neutral
1858,neutral
1859,neutral
1860,neutral
1861,neutral
1862,neutral
1863,non-neutral
1864,neutral
1865,neutral
1866,neutral
1867,neutral
1868,neutral
1869,neutral
1870,non-neutral
1871,surprise
1872,neutral
1873,neutral
1874,neutral
1875,neutral
1876,neutral
1877,non-neutral
1878,non-neutral
1879,surprise
1880,joy
1881,neutral
1882,neutral
1883,neutral
1884,anger
1885,non-neutral
1886,neutral
1887,neutral
1888,neutral
1889,neutral
1890,neutral
1891,neutral
1892,joy
1893,non-neutral
1894,joy
1895,surprise
1896,neutral
1897,neutral
1898,neutral
1899,non-neutral
1900,neutral
1901,joy
1902,neutral
1903,joy
1904,joy
1905,neutral
1906,neutral
1907,surprise
1908,non-neutral
1909,neutral
1910,neutral
1911,neutral
1912,neutral
1913,neutral
1914,surprise
1915,neutral
1916,neutral
1917,neutral
1918,neutral
1919,neutral
1920,neutral
1921,neutral
1922,neutral
1923,neutral
1924,joy
1925,neutral
1926,neutral
1927,neutral
1928,joy
1929,neutral
1930,neutral
1931,non-neutral
1932,neutral
1933,neutral
1934,neutral
1935,neutral
1936,neutral
1937,non-neutral
1938,neutral
1939,surprise
1940,neutral
1941,non-neutral
1942,surprise
1943,neutral
1944,non-neutral
1945,neutral
1946,joy
1947,neutral
1948,neutral
1949,non-neutral
1950,neutral
1951,neutral
1952,neutral
1953,non-neutral
1954,neutral
1955,neutral
1956,non-neutral
1957,neutral
1958,neutral
1959,neutral
1960,neutral
1961,neutral
1962,non-neutral
1963,surprise
1964,neutral
1965,non-neutral
1966,neutral
1967,neutral
1968,neutral
1969,neutral
1970,neutral
1971,surprise
1972,neutral
1973,non-neutral
1974,non-neutral
1975,joy
1976,neutral
1977,neutral
1978,non-neutral
1979,surprise
1980,non-neutral
1981,anger
1982,non-neutral
1983,neutral
1984,non-neutral
1985,neutral
1986,non-neutral
1987,neutral
1988,neutral
1989,neutral
1990,surprise
1991,neutral
1992,neutral
1993,neutral
1994,neutral
1995,joy
1996,neutral
1997,surprise
1998,neutral
1999,neutral
2000,neutral
2001,neutral
2002,surprise
2003,neutral
2004,non-neutral
2005,neutral
2006,joy
2007,neutral
2008,sadness
2009,neutral
2010,neutral
2011,neutral
2012,neutral
2013,anger
2014,surprise
2015,non-neutral
2016,neutral
2017,disgust
2018,neutral
2019,anger
2020,neutral
2021,non-neutral
2022,neutral
2023,neutral
2024,neutral
2025,neutral
2026,neutral
2027,neutral
2028,neutral
2029,non-neutral
2030,non-neutral
2031,sadness
2032,neutral
2033,joy
2034,non-neutral
2035,surprise
2036,neutral
2037,neutral
2038,neutral
2039,neutral
2040,neutral
2041,joy
2042,surprise
2043,surprise
2044,non-neutral
2045,neutral
2046,non-neutral
2047,neutral
2048,neutral
2049,neutral
2050,neutral
2051,joy
2052,neutral
2053,neutral
2054,neutral
2055,non-neutral
2056,neutral
2057,joy
2058,neutral
2059,neutral
2060,neutral
2061,neutral
2062,neutral
2063,neutral
2064,neutral
2065,neutral
2066,joy
2067,surprise
2068,neutral
2069,neutral
2070,neutral
2071,neutral
2072,neutral
2073,neutral
2074,sadness
2075,surprise
2076,surprise
2077,neutral
2078,neutral
2079,neutral
2080,neutral
2081,neutral
2082,surprise
2083,neutral
2084,neutral
2085,neutral
2086,neutral
2087,neutral
